project,date,author,aqua,condition,species,id,weight,temperature,salinity,statut,comment
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,1,0.415,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,2,0.286,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,3,,25.1,35.1,dead,14h20
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,4,1.059,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,5,0.677,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,6,0.394,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,7,0.795,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,8,0.228,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,9,0.508,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,10,0.929,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,11,0.519,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,12,1.088,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,13,0.603,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,14,0.224,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,15,,25.1,35.1,dead,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,16,,25.1,35.1,good,"numéro 16 à rejeter, mal mesuré"
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,17,0.465,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,18,0.795,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,19,0.633,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,20,0.794,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,21,0.513,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,22,0.304,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,23,0.448,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,24,0.912,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,25,0.543,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,26,0.948,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,27,0.670,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,28,0.809,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,29,0.721,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,30,0.591,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,31,1.074,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,32,0.534,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,33,0.840,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,34,0.600,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,35,0.507,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,36,0.838,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,37,0.745,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,38,0.524,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,39,1.262,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,40,1.169,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,41,1.310,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,42,0.626,25.1,35.1,good,
