metadata;;;;;;
sample;coral_growth;;;;;
;;;;;;
author;madeleine;;;;;
comment;recherche d'un plateau dans la croissance des boutures;;;;;
;;;;;;
units;;;;;;
weight;salinity;temperature;;;;
g;PSU;øC;;;;
;;;;;;
dataset;;;;;;
localisation;species;id;weight;salinity;temperature;sample_date
B0;s.hystrix;1;1.648;32.9;25.3;23/10/18 14:15
B0;s.hystrix;2;0.750;32.9;25.3;23/10/18 14:15
B0;s.hystrix;3;0.429;32.9;25.3;23/10/18 14:15
B0;s.hystrix;4;0.588;32.9;25.3;23/10/18 14:15
B0;s.hystrix;5;0.933;32.9;25.3;23/10/18 14:15
B0;s.hystrix;6;0.629;32.9;25.3;23/10/18 14:15
B0;s.hystrix;7;1.131;32.9;25.3;23/10/18 14:15
B0;s.hystrix;8;0.624;32.9;25.3;23/10/18 14:15
B0;s.hystrix;9;0.748;32.9;25.3;23/10/18 14:15
B0;s.hystrix;10;0.527;32.9;25.3;23/10/18 14:15
B0;s.hystrix;1;1.689;32.9;25.3;25/10/18 10:40
B0;s.hystrix;2;0.773;32.9;25.3;25/10/18 10:40
B0;s.hystrix;3;0.434;32.9;25.3;25/10/18 10:40
B0;s.hystrix;4;0.593;32.9;25.3;25/10/18 10:40
B0;s.hystrix;5;0.957;32.9;25.3;25/10/18 10:40
B0;s.hystrix;6;0.642;32.9;25.3;25/10/18 10:40
B0;s.hystrix;7;1.154;32.9;25.3;25/10/18 10:40
B0;s.hystrix;8;0.641;32.9;25.3;25/10/18 10:40
B0;s.hystrix;9;0.771;32.9;25.3;25/10/18 10:40
B0;s.hystrix;10;0.541;32.9;25.3;25/10/18 10:40
B0;s.hystrix;1;1.705;32.9;25.3;26/10/18 14:55
B0;s.hystrix;2;0.791;32.9;25.3;26/10/18 14:55
B0;s.hystrix;3;0.441;32.9;25.3;26/10/18 14:55
B0;s.hystrix;4;0.602;32.9;25.3;26/10/18 14:55
B0;s.hystrix;5;0.974;32.9;25.3;26/10/18 14:55
B0;s.hystrix;6;0.653;32.9;25.3;26/10/18 14:55
B0;s.hystrix;7;1.166;32.9;25.3;26/10/18 14:55
B0;s.hystrix;8;0.656;32.9;25.3;26/10/18 14:55
B0;s.hystrix;9;0.785;32.9;25.3;26/10/18 14:55
B0;s.hystrix;10;0.555;32.9;25.3;26/10/18 14:55
B0;s.hystrix;1;1.738;32.8;25.2;29/10/18 15:15
B0;s.hystrix;2;0.832;32.8;25.2;29/10/18 15:15
B0;s.hystrix;3;0.464;32.8;25.2;29/10/18 15:15
B0;s.hystrix;4;0.627;32.8;25.2;29/10/18 15:15
B0;s.hystrix;5;1.022;32.8;25.2;29/10/18 15:15
B0;s.hystrix;6;0.679;32.8;25.2;29/10/18 15:15
B0;s.hystrix;7;1.216;32.8;25.2;29/10/18 15:15
B0;s.hystrix;8;0.692;32.8;25.2;29/10/18 15:15
B0;s.hystrix;9;0.824;32.8;25.2;29/10/18 15:15
B0;s.hystrix;10;0.580;32.8;25.2;29/10/18 15:15
B0;s.hystrix;1;1.760;32.9;25.1;31/10/18 12:45
B0;s.hystrix;2;0.855;32.9;25.1;31/10/18 12:45
B0;s.hystrix;3;0.476;32.9;25.1;31/10/18 12:45
B0;s.hystrix;4;0.647;32.9;25.1;31/10/18 12:45
B0;s.hystrix;5;1.053;32.9;25.1;31/10/18 12:45
B0;s.hystrix;6;0.695;32.9;25.1;31/10/18 12:45
B0;s.hystrix;7;1.250;32.9;25.1;31/10/18 12:45
B0;s.hystrix;8;0.706;32.9;25.1;31/10/18 12:45
B0;s.hystrix;9;0.824;32.9;25.1;31/10/18 12:45
B0;s.hystrix;10;0.597;32.9;25.1;31/10/18 12:45
B0;s.hystrix;1;1.839;32.8;24.9;5/11/18 10:15
B0;s.hystrix;2;0.922;32.8;24.9;5/11/18 10:15
B0;s.hystrix;3;0.510;32.8;24.9;5/11/18 10:15
B0;s.hystrix;4;0.694;32.8;24.9;5/11/18 10:15
B0;s.hystrix;5;1.138;32.8;24.9;5/11/18 10:15
B0;s.hystrix;6;0.739;32.8;24.9;5/11/18 10:15
B0;s.hystrix;7;1.349;32.8;24.9;5/11/18 10:15
B0;s.hystrix;8;0.764;32.8;24.9;5/11/18 10:15
B0;s.hystrix;9;0.909;32.8;24.9;5/11/18 10:15
B0;s.hystrix;10;0.632;32.8;24.9;5/11/18 10:15
B0;s.hystrix;1;1.865;32.8;25.3;7/11/18 13:25
B0;s.hystrix;2;0.943;32.8;25.3;7/11/18 13:25
B0;s.hystrix;3;0.525;32.8;25.3;7/11/18 13:25
B0;s.hystrix;4;0.716;32.8;25.3;7/11/18 13:25
B0;s.hystrix;5;1.171;32.8;25.3;7/11/18 13:25
B0;s.hystrix;6;0.763;32.8;25.3;7/11/18 13:25
B0;s.hystrix;7;1.386;32.8;25.3;7/11/18 13:25
B0;s.hystrix;8;0.789;32.8;25.3;7/11/18 13:25
B0;s.hystrix;9;0.939;32.8;25.3;7/11/18 13:25
B0;s.hystrix;10;0.651;32.8;25.3;7/11/18 13:25
B0;s.hystrix;1;;;;
B0;s.hystrix;2;;;;
B0;s.hystrix;3;;;;
B0;s.hystrix;4;;;;
B0;s.hystrix;5;;;;
B0;s.hystrix;6;;;;
B0;s.hystrix;7;;;;
B0;s.hystrix;8;;;;
B0;s.hystrix;9;;;;
B0;s.hystrix;10;;;;
