ID;weight;temp;salinity;date;;Tableau recapitulatif du poids des boutures de coraux
1;0,415;25,1;35,1;11/02/2019;;Auteur : Jordan
2;0,286;25,1;35,1;11/02/2019;;Espece : s. hystrix
3;;25,1;35,1;11/02/2019;14h20;Localisation : 
4;1,059;25,1;35,1;11/02/2019;;Info : Les cases grisees sont les coraux qui ont blanchis (=mort)
5;0,677;25,1;35,1;11/02/2019;;
6;0,394;25,1;35,1;11/02/2019;;Numero (ID)
7;0,795;25,1;35,1;11/02/2019;;Poids (en gramme)
8;0,228;25,1;35,1;11/02/2019;;Temperature (celsius)
9;0,508;25,1;35,1;11/02/2019;;Salinite (g/L)
10;0,929;25,1;35,1;11/02/2019;;Date (jj/mm/aaaa)
11;0,519;25,1;35,1;11/02/2019;;
12;1,088;25,1;35,1;11/02/2019;;
13;0,603;25,1;35,1;11/02/2019;;
14;0,224;25,1;35,1;11/02/2019;;
15;;25,1;35,1;11/02/2019;;
16;;25,1;35,1;11/02/2019;;
17;0,465;25,1;35,1;11/02/2019;;
18;0,795;25,1;35,1;11/02/2019;;
19;0,633;25,1;35,1;11/02/2019;;
20;0,794;25,1;35,1;11/02/2019;;
21;0,513;25,1;35,1;11/02/2019;;
22;0,304;25,1;35,1;11/02/2019;;
23;0,448;25,1;35,1;11/02/2019;;
24;0,912;25,1;35,1;11/02/2019;;
25;0,543;25,1;35,1;11/02/2019;;
26;0,948;25,1;35,1;11/02/2019;;
27;0,670;25,1;35,1;11/02/2019;;
28;0,809;25,1;35,1;11/02/2019;;
29;0,721;25,1;35,1;11/02/2019;;
30;0,591;25,1;35,1;11/02/2019;;
31;1,074;25,1;35,1;11/02/2019;;
32;0,534;25,1;35,1;11/02/2019;;
33;0,840;25,1;35,1;11/02/2019;;
34;0,600;25,1;35,1;11/02/2019;;
35;0,507;25,1;35,1;11/02/2019;;
36;0,838;25,1;35,1;11/02/2019;;
37;0,745;25,1;35,1;11/02/2019;;
38;0,524;25,1;35,1;11/02/2019;;
39;1,262;25,1;35,1;11/02/2019;;
40;1,169;25,1;35,1;11/02/2019;;
41;1,310;25,1;35,1;11/02/2019;;
42;0,626;25,1;35,1;11/02/2019;;
43;0,742;25,1;35,1;11/02/2019;;
44;0,478;25,1;35,1;11/02/2019;;
45;0,700;25,1;35,1;11/02/2019;;
46;0,783;25,1;35,1;11/02/2019;;
47;0,469;25,1;35,1;11/02/2019;;
48;0,837;25,1;35,1;11/02/2019;;
49;1,373;25,1;35,1;11/02/2019;;
50;0,448;25,1;35,1;11/02/2019;;
51;1,147;25,1;35,1;11/02/2019;;
52;0,756;25,1;35,1;11/02/2019;;
53;0,984;25,1;35,1;11/02/2019;;
54;0,693;25,1;35,1;11/02/2019;;
55;0,585;25,1;35,1;11/02/2019;;
56;0,887;25,1;35,1;11/02/2019;;
57;1,363;25,1;35,1;11/02/2019;;
58;0,959;25,1;35,1;11/02/2019;;
59;0,794;25,1;35,1;11/02/2019;;
60;0,910;25,1;35,1;11/02/2019;;
61;0,486;25,1;35,1;11/02/2019;;
62;0,894;25,1;35,1;11/02/2019;;
63;1,425;25,1;35,1;11/02/2019;;
64;1,053;25,1;35,1;11/02/2019;;
65;1,701;25,1;35,1;11/02/2019;;
66;1,066;25,1;35,1;11/02/2019;;
67;1,221;25,1;35,1;11/02/2019;;
68;1,100;25,1;35,1;11/02/2019;;
69;1,249;25,1;35,1;11/02/2019;;
70;0,319;25,1;35,1;11/02/2019;;
71;0,935;25,1;35,1;11/02/2019;;
72;1,023;25,1;35,1;11/02/2019;;
73;0,656;25,1;35,1;11/02/2019;;
74;1,193;25,1;35,1;11/02/2019;;
75;1,382;25,1;35,1;11/02/2019;;
76;0,292;25,1;35,1;11/02/2019;;
77;0,943;25,1;35,1;11/02/2019;;
78;1,183;25,1;35,1;11/02/2019;;
79;0,808;25,1;35,1;11/02/2019;;
80;1,057;25,1;35,1;11/02/2019;;
81;;25,1;35,1;11/02/2019;Les lignes 81 a 84 ont ete oublie;
82;;25,1;35,1;11/02/2019;;
83;;25,1;35,1;11/02/2019;;
84;;25,1;35,1;11/02/2019;;
1;0,438;25,2;35,1;15/02/2019;;
2;0,299;25,2;35,1;15/02/2019;;
3;;25,2;35,1;15/02/2019;13h06;
4;1,103;25,2;35,1;15/02/2019;;
5;0,697;25,2;35,1;15/02/2019;;
6;0,406;25,2;35,1;15/02/2019;;
7;0,825;25,2;35,1;15/02/2019;;
8;0,238;25,2;35,1;15/02/2019;;
9;0,546;25,2;35,1;15/02/2019;;
10;0,967;25,2;35,1;15/02/2019;;
11;0,540;25,2;35,1;15/02/2019;;
12;1,113;25,2;35,1;15/02/2019;;
13;0,624;25,2;35,1;15/02/2019;;
14;0,231;25,2;35,1;15/02/2019;;
